"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"207",36,0,1,1,0.906492180597751,0.447937223328033
"208",36,1,0,1,0.383583909635498,0.006431043541857
"209",36,1,1,0,0.676422219964735,0.24884195368813
"210",36,1,1,1,0.787557773232965,0.297937223328033
"211",37,0,0,1,0.52495337095191,0.14971695605194
"212",37,0,1,0,0.824296106249039,0.389280535411968
"213",37,0,1,1,0.905530941618067,0.440728468415361
"214",37,1,0,1,0.37495337095191,0
"215",37,1,1,0,0.674296106249038,0.239280535411968
"216",37,1,1,1,0.784681689604257,0.290728468415361
"217",38,0,0,1,0.516399665632843,0.143130616425859
"218",38,0,1,0,0.822201688710211,0.37982809476416
"219",38,0,1,1,0.904585850092141,0.433621581868842
"220",38,1,0,1,0.366399665632843,0
"221",38,1,1,0,0.67220168871021,0.22982809476416
"222",38,1,1,1,0.78182175342931,0.283621581868842
"223",39,0,0,1,0.507920113906396,0.136666325915737
"224",39,0,1,0,0.820137678895783,0.370480569504344
"225",39,0,1,1,0.903656220280117,0.426612498796088
"226",39,1,0,1,0.357920113906395,0
"227",39,1,1,0,0.670137678895784,0.220480569504344
"228",39,1,1,1,0.778977278968263,0.276612498796088
"229",4,0,0,1,0.892795259673284,0.55329644354867
"230",4,0,1,0,0.934613274205906,0.830404800384734
"231",4,0,1,1,0.958822962848295,0.804944857015175
"232",4,1,0,1,0.742795259673284,0.40329644354867
"233",4,1,1,0,0.784613274205906,0.680404800384734
"234",4,1,1,1,0.901163584252208,0.654944857015175
"235",40,0,0,1,0.499512195529537,0.130318778388541
"236",40,0,1,0,0.818102872212211,0.361234148594048
"237",40,0,1,1,0.902741412272666,0.419697415947487
"238",40,1,0,1,0.349512195529537,0
"239",40,1,1,0,0.66810287221221,0.211234148594048
"240",40,1,1,1,0.776147626311791,0.269697415947487
"241",41,0,0,1,0.491173536553603,0.124083024213494
"242",41,0,1,0,0.816096140519301,0.352085250798695
"243",41,0,1,1,0.90184082786652,0.412872768791699
"244",41,1,0,1,0.341173536553603,0
"245",41,1,1,0,0.666096140519301,0.202085250798695
"246",41,1,1,1,0.773332197256623,0.262872768791699
"247",42,0,0,1,0.482901897482775,0.117954438264535
"248",42,0,1,0,0.814116425542335,0.343030505587699
"249",42,0,1,1,0.900953906902072,0.406135211106973
"250",42,1,0,1,0.332901897482775,0
"251",42,1,1,0,0.664116425542336,0.193030505587699
"252",42,1,1,1,0.770530431643154,0.256135211106973
"253",43,0,0,1,0.474695162649342,0.111928691482759
"254",43,0,1,0,0.812162732994327,0.334066736037175
"255",43,0,1,1,0.900080124001608,0.399481596759188
"256",43,1,0,1,0.324695162649343,0
"257",43,1,1,0,0.662162732994327,0.184066736037175
"258",43,1,1,1,0.767741804093668,0.249481596759188
"259",44,0,0,1,0.466551330655396,0.106001725529732
"260",44,0,1,0,0.810234127317248,0.325190943483795
"261",44,0,1,1,0.899218985656074,0.392908963387113
"262",44,1,0,1,0.316551330655396,0
"263",44,1,1,0,0.660234127317247,0.175190943483795
"264",44,1,1,1,0.764965821099112,0.242908963387113
"265",45,0,0,1,0.458468505752183,0.10016973013359
"266",45,0,1,0,0.808329726964514,0.316400293714838
"267",45,0,1,1,0.898370027616132,0.386414517756685
"268",45,1,0,1,0.308468505752183,0
"269",45,1,1,0,0.658329726964513,0.166400293714838
"270",45,1,1,1,0.762202018410148,0.236414517756685
"271",46,0,0,1,0.450444890046387,0.0944291227887293
"272",46,0,1,0,0.806448700158289,0.307692104510062
"273",46,0,1,1,0.897532812549673,0.379995622580432
"274",46,1,0,1,0.300444890046387,0
"275",46,1,1,0,0.656448700158289,0.157692104510062
"276",46,1,1,1,0.759449958694667,0.229995622580432
"277",47,0,0,1,0.442478776437817,0.0887765305190606
"278",47,0,1,0,0.804590261064583,0.299063834376671
"279",47,0,1,1,0.896706927933436,0.373649784626931
"280",47,1,0,1,0.292478776437817,0
"281",47,1,1,0,0.654590261064584,0.149063834376671
"282",47,1,1,1,0.756709229429408,0.223649784626931
"283",48,0,0,1,0.434568542205798,0.083208773455874
"284",48,0,1,0,0.802753666337037,0.290513072340231
"285",48,0,1,1,0.895891984150854,0.367374643969427
"286",48,1,0,1,0.284568542205798,0
"287",48,1,1,0,0.652753666337037,0.140513072340231
"288",48,1,1,1,0.753979440997805,0.217374643969427
"289",49,0,0,1,0.42671264317243,0.0777228500159545
"290",49,0,1,0,0.800938211986936,0.282037528672711
"291",49,0,1,1,0.89508761277212,0.361167964243101
"292",49,1,0,1,0.27671264317243,0
"293",49,1,1,0,0.650938211986936,0.132037528672711
"294",49,1,1,1,0.751260224970049,0.211167964243101
"295",5,0,0,1,0.875530144823679,0.52350382422847
"296",5,0,1,0,0.927797834588596,0.807146840409711
"297",5,0,1,1,0.95524629731151,0.78320761871707
"298",5,1,0,1,0.725530144823679,0.37350382422847
"299",5,1,1,0,0.777797834588596,0.657146840409711
"300",5,1,1,1,0.895672074066401,0.63320761871707
"301",50,0,0,1,0.418909608380168,0.0723159234947282
"302",50,0,1,0,0.799143230542681,0.273635026454308
"303",50,0,1,1,0.894293464995664,0.355027623797801
"304",50,1,0,1,0.268909608380169,0
"305",50,1,1,0,0.649143230542681,0.123635026454308
"306",50,1,1,1,0.748551232544571,0.205027623797801
