"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"153",19,"75+ years","healthy",21.1986463966889,0.0313807531380753
"154",17,"75+ years","healthy",18.2765272192005,0.0313807531380753
"155",26,"75+ years","healthy",25.3958721243541,0.00627615062761515
"156",24,"75+ years","healthy",24.8114482888564,0.0271966527196654
"157",6,"0-17 years","immunocompromised",2.9606953627062,0.0176436383593273
"158",15,"0-17 years","immunocompromised",12.7492933683044,0.0377201961079864
"159",13,"0-17 years","immunocompromised",5.92139072541241,0.0176436383593273
"160",2,"0-17 years","immunocompromised",1.2688694411598,0.0176436383593273
"161",20,"0-17 years","immunocompromised",20.224449176011,0.0198015670779039
"162",9,"0-17 years","immunocompromised",4.22956480386601,0.0176436383593273
"163",7,"0-17 years","immunocompromised",3.3836518430928,0.0176436383593273
"164",16,"0-17 years","immunocompromised",14.8911449431517,0.0893473829066736
"165",14,"0-17 years","immunocompromised",11.8450580252074,0.247105904378211
"166",3,"0-17 years","immunocompromised",1.6918259215464,0.0176436383593273
"167",1,"0-17 years","immunocompromised",0.845912960773201,0.0176436383593273
"168",10,"0-17 years","immunocompromised",4.65252128425261,0.0176436383593273
"169",8,"0-17 years","immunocompromised",3.80660832347941,0.0176436383593273
"170",17,"0-17 years","immunocompromised",15.6264721523245,0.0306741897950336
"171",26,"0-17 years","immunocompromised",23.9721803277046,0.0121104923715643
"172",4,"0-17 years","immunocompromised",2.114782401933,0.0176436383593273
"173",24,"0-17 years","immunocompromised",23.1680029381338,0.0161476116621195
"174",11,"0-17 years","immunocompromised",5.07547776463921,0.0176436383593273
"175",25,"0-17 years","immunocompromised",23.6818654207162,0.0214357841280103
"176",18,"0-17 years","immunocompromised",18.7383752515483,0.129813102382988
"177",21,"0-17 years","immunocompromised",20.9795673702353,0.03149977114729
"178",5,"0-17 years","immunocompromised",2.5377388823196,0.0176436383593273
"179",22,"0-17 years","immunocompromised",21.3844578463407,0.0168900146157106
"180",12,"0-17 years","immunocompromised",5.49843424502581,0.0176436383593273
"181",23,"0-17 years","immunocompromised",22.7809094795077,0.0582530088659957
"182",19,"0-17 years","immunocompromised",19.7497624392484,0.0421900375299306
"183",1,"18-29 years","immunocompromised",0.629259470813729,0.0310344827586206
"184",7,"18-29 years","immunocompromised",0.943889206220595,0
"185",8,"18-29 years","immunocompromised",1.31095723086194,0.0241379310344828
"186",14,"18-29 years","immunocompromised",6.86941588971654,0.0827586206896551
"187",9,"18-29 years","immunocompromised",1.67802525550328,0.0241379310344828
"188",12,"18-29 years","immunocompromised",4.66700774186849,0.0310344827586207
"189",16,"18-29 years","immunocompromised",8.44256456675086,0.0724137931034482
"190",19,"18-29 years","immunocompromised",11.7461767885229,0.010344827586207
"191",17,"18-29 years","immunocompromised",9.85839837608175,0.0931034482758621
"192",15,"18-29 years","immunocompromised",7.34136049282683,0.0310344827586207
"193",10,"18-29 years","immunocompromised",2.7792293294273,0.0724137931034483
"194",2,"18-29 years","immunocompromised",0.629259470813729,0
"195",11,"18-29 years","immunocompromised",4.19506313875819,0.0931034482758621
"196",20,"18-29 years","immunocompromised",12.5327511270401,0.0517241379310345
"197",18,"18-29 years","immunocompromised",11.5888619208195,0.113793103448276
"198",5,"18-29 years","immunocompromised",0.943889206220595,0.0206896551724139
"199",3,"18-29 years","immunocompromised",0.629259470813729,0
"200",23,"18-29 years","immunocompromised",14.7351592748881,0.0931034482758621
"201",21,"18-29 years","immunocompromised",12.847380862447,0.0206896551724137
"202",13,"18-29 years","immunocompromised",5.61089694808908,0.0620689655172414
"203",22,"18-29 years","immunocompromised",13.3193254655573,0.0310344827586208
"204",6,"18-29 years","immunocompromised",0.943889206220595,0
"205",4,"18-29 years","immunocompromised",0.629259470813729,0
"206",26,"18-29 years","immunocompromised",15.2071038779984,0
"207",24,"18-29 years","immunocompromised",15.049789010295,0.0206896551724137
"208",25,"18-29 years","immunocompromised",15.2071038779984,0.0103448275862069
"209",11,"30-49 years","immunocompromised",4.37840398134206,0.0388768898488121
"210",1,"30-49 years","immunocompromised",0.550577746156789,0.0226781857451405
"211",10,"30-49 years","immunocompromised",3.43455641650186,0.0615550755939525
"212",2,"30-49 years","immunocompromised",0.550577746156789,0
"213",14,"30-49 years","immunocompromised",9.64821955169988,0.123110151187905
"214",7,"30-49 years","immunocompromised",0.943847564840207,0
"215",21,"30-49 years","immunocompromised",21.7609299671492,0.0777537796976243
"216",8,"30-49 years","immunocompromised",1.44198933517254,0.0205183585313175
"217",3,"30-49 years","immunocompromised",0.550577746156789,0
"218",12,"30-49 years","immunocompromised",5.24359758244559,0.0356371490280778
"219",4,"30-49 years","immunocompromised",0.550577746156789,0
"220",13,"30-49 years","immunocompromised",6.65936892970589,0.0583153347732181
"221",22,"30-49 years","immunocompromised",22.1541997858326,0.0161987041036717
"222",9,"30-49 years","immunocompromised",1.94013110550487,0.0205183585313175
"223",20,"30-49 years","immunocompromised",19.8732348374688,0.029157667386609
"224",18,"30-49 years","immunocompromised",18.5361174539451,0.168466522678186
"225",5,"30-49 years","immunocompromised",0.865193601103528,0.0129589632829375
"226",25,"30-49 years","immunocompromised",24.1992028429864,0.0291576673866091
"227",23,"30-49 years","immunocompromised",23.4126632056195,0.0518358531317494
"228",15,"30-49 years","immunocompromised",11.2212988264336,0.0647948164146868
"229",24,"30-49 years","immunocompromised",23.4913171693562,0.00323974082073439
"230",19,"30-49 years","immunocompromised",19.1653491638386,0.0259179265658746
"231",6,"30-49 years","immunocompromised",0.943847564840207,0.00323974082073416
"232",17,"30-49 years","immunocompromised",14.4461113396376,0.0356371490280777
"233",26,"30-49 years","immunocompromised",24.2778568067231,0.00323974082073427
"234",16,"30-49 years","immunocompromised",13.5809177385341,0.0971922246220303
"235",11,"50-64 years","immunocompromised",6.27789577229495,0.0491331097936509
"236",1,"50-64 years","immunocompromised",0.488031054320205,0.0160293297334736
