"","week","age_group","perc_doses"
"377",2022-05-22,"18-29 years",0.000730424769321624
"378",2022-05-22,"50-64 years",0.00106909237636504
"379",2022-05-22,"65-74 years",0.0014905524467496
"380",2022-05-22,"75+ years",0.00169893993595876
"381",2022-05-29,"0-17 years",0.00193053082114904
"382",2022-05-29,"18-29 years",0.000645069679655659
"383",2022-05-29,"50-64 years",0.000790791046279201
"384",2022-05-29,"65-74 years",0.000979661652966655
"385",2022-05-29,"75+ years",0.0010916218002895
"386",2022-06-05,"0-17 years",0.00201818504447917
"387",2022-06-05,"18-29 years",0.000689198019213842
"388",2022-06-05,"50-64 years",0.000802578234793374
"389",2022-06-05,"65-74 years",0.000983458288057649
"390",2022-06-05,"75+ years",0.00114369952188535
"391",2022-06-12,"0-17 years",0.00200348692776223
"392",2022-06-12,"18-29 years",0.00065600101491151
"393",2022-06-12,"50-64 years",0.000690909146787077
"394",2022-06-12,"65-74 years",0.000804854189418084
"395",2022-06-12,"75+ years",0.000921124700726614
"396",2022-06-19,"0-17 years",0.00192110112029427
"397",2022-06-19,"18-29 years",0.000602543259273218
"398",2022-06-19,"50-64 years",0.000621872576856686
"399",2022-06-19,"65-74 years",0.000701306646038932
"400",2022-06-19,"75+ years",0.000790403875654675
"401",2022-06-26,"0-17 years",0.00188704730182281
"402",2022-06-26,"18-29 years",0.000607218042276642
"403",2022-06-26,"50-64 years",0.000571969106247394
"404",2022-06-26,"65-74 years",0.000613756889838069
"405",2022-06-26,"75+ years",0.000699172131756061
"406",2022-07-03,"0-17 years",0.00168875634538696
"407",2022-07-03,"18-29 years",0.000554908832462467
"408",2022-07-03,"50-64 years",0.000518842429875879
"409",2022-07-03,"65-74 years",0.000562291391937933
"410",2022-07-03,"75+ years",0.00059755356287004
"411",2022-07-10,"0-17 years",0.00191411474273791
"412",2022-07-10,"18-29 years",0.000621927488796036
"413",2022-07-10,"50-64 years",0.000830725066507665
"414",2022-07-10,"65-74 years",0.00098735227276636
"415",2022-07-10,"75+ years",0.00102097224415395
"416",2022-07-17,"0-17 years",0.0035906926485594
"417",2022-07-17,"18-29 years",0.000621171866543328
