"","day","age_group","perc_doses"
"341",2021-02-21,"0-17 years",5.10480046273053e-05
"342",2021-02-21,"18-29 years",0.00205000029303751
"343",2021-02-21,"50-64 years",0.00292088833671055
"344",2021-02-21,"65-74 years",0.0102667502834983
"345",2021-02-21,"75+ years",0.0153444107397255
"346",2021-02-22,"0-17 years",5.10480046273053e-05
"347",2021-02-22,"18-29 years",0.00205000029303751
"348",2021-02-22,"50-64 years",0.00292088833671055
"349",2021-02-22,"65-74 years",0.0102667502834983
"350",2021-02-22,"75+ years",0.0153444107397255
"351",2021-02-23,"0-17 years",5.10480046273053e-05
"352",2021-02-23,"18-29 years",0.00205000029303751
"353",2021-02-23,"50-64 years",0.00292088833671055
"354",2021-02-23,"65-74 years",0.0102667502834983
"355",2021-02-23,"75+ years",0.0153444107397255
"356",2021-02-24,"0-17 years",5.10480046273053e-05
"357",2021-02-24,"18-29 years",0.00205000029303751
"358",2021-02-24,"50-64 years",0.00292088833671055
"359",2021-02-24,"65-74 years",0.0102667502834983
"360",2021-02-24,"75+ years",0.0153444107397255
"361",2021-02-25,"0-17 years",5.10480046273053e-05
"362",2021-02-25,"18-29 years",0.00205000029303751
"363",2021-02-25,"50-64 years",0.00292088833671055
"364",2021-02-25,"65-74 years",0.0102667502834983
"365",2021-02-25,"75+ years",0.0153444107397255
"366",2021-02-26,"0-17 years",5.10480046273053e-05
"367",2021-02-26,"18-29 years",0.00205000029303751
"368",2021-02-26,"50-64 years",0.00292088833671055
"369",2021-02-26,"65-74 years",0.0102667502834983
"370",2021-02-26,"75+ years",0.0153444107397255
"371",2021-02-27,"0-17 years",5.10480046273053e-05
"372",2021-02-27,"18-29 years",0.00205000029303751
"373",2021-02-27,"50-64 years",0.00292088833671055
"374",2021-02-27,"65-74 years",0.0102667502834983
"375",2021-02-27,"75+ years",0.0153444107397255
"376",2021-02-28,"0-17 years",5.39658125841011e-05
"377",2021-02-28,"18-29 years",0.0019185997422122
"378",2021-02-28,"50-64 years",0.0030359974740561
"379",2021-02-28,"65-74 years",0.0108153756433871
"380",2021-02-28,"75+ years",0.0127026493316872
"381",2021-03-01,"0-17 years",5.39658125841011e-05
"382",2021-03-01,"18-29 years",0.0019185997422122
"383",2021-03-01,"50-64 years",0.0030359974740561
"384",2021-03-01,"65-74 years",0.0108153756433871
"385",2021-03-01,"75+ years",0.0127026493316872
"386",2021-03-02,"0-17 years",5.39658125841011e-05
"387",2021-03-02,"18-29 years",0.0019185997422122
"388",2021-03-02,"50-64 years",0.0030359974740561
"389",2021-03-02,"65-74 years",0.0108153756433871
"390",2021-03-02,"75+ years",0.0127026493316872
"391",2021-03-03,"0-17 years",5.39658125841011e-05
"392",2021-03-03,"18-29 years",0.0019185997422122
"393",2021-03-03,"50-64 years",0.0030359974740561
"394",2021-03-03,"65-74 years",0.0108153756433871
"395",2021-03-03,"75+ years",0.0127026493316872
"396",2021-03-04,"0-17 years",5.39658125841011e-05
"397",2021-03-04,"18-29 years",0.0019185997422122
"398",2021-03-04,"50-64 years",0.0030359974740561
"399",2021-03-04,"65-74 years",0.0108153756433871
"400",2021-03-04,"75+ years",0.0127026493316872
"401",2021-03-05,"0-17 years",5.39658125841011e-05
"402",2021-03-05,"18-29 years",0.0019185997422122
"403",2021-03-05,"50-64 years",0.0030359974740561
"404",2021-03-05,"65-74 years",0.0108153756433871
"405",2021-03-05,"75+ years",0.0127026493316872
"406",2021-03-06,"0-17 years",5.39658125841011e-05
"407",2021-03-06,"18-29 years",0.0019185997422122
"408",2021-03-06,"50-64 years",0.0030359974740561
"409",2021-03-06,"65-74 years",0.0108153756433871
"410",2021-03-06,"75+ years",0.0127026493316872
"411",2021-03-07,"0-17 years",4.90846198339474e-05
"412",2021-03-07,"18-29 years",0.00248500986500113
"413",2021-03-07,"50-64 years",0.00423663894340274
"414",2021-03-07,"65-74 years",0.012067810925199
"415",2021-03-07,"75+ years",0.011366653369844
